DATASET,MODEL,TRIAL,TEST_ACC,TEST_PREC,TEST_REC,TEST_SPEC,TEST_F1,TEST_ROC
CARDIO,KNN,4,0.6616615384615384,0.6791767969044277,0.62051329451274,0.7181575146728943,0.6416887885676136,0.6615947108057944
CARDIO,KNN,5,0.6635076923076924,0.6778949489521763,0.6300129366106079,0.7142374131677629,0.6467738312959219,0.6634640293154253
CARDIO,KNN,6,0.6605846153846154,0.7000688178620584,0.5934272011805214,0.7584072431633407,0.6281601833749074,0.6606602319125414
CARDIO,KNN,7,0.6651538461538462,0.6931437826165197,0.6161591279982757,0.737847062079144,0.6459881914737886,0.6651158658899816
CARDIO,RF,1,0.7295692307692307,0.7379145408163266,0.7114325280812432,0.7463467158898631,0.7233876017532874,0.7295665829483214
CARDIO,RF,2,0.7274923076923077,0.7335678519363631,0.7127439795257624,0.7442660198348122,0.721141698510489,0.7272791896579617
CARDIO,RF,3,0.728276923076923,0.7354305687956785,0.7110487699611566,0.7423376942448252,0.7237842064112588,0.7286156409926854
CARDIO,RF,4,0.7249692307692308,0.729243586102433,0.7158702283020612,0.7363181022032388,0.7210164107993647,0.7249848018905549
CARDIO,RF,5,0.7286461538461538,0.7311687096472349,0.7232489373498429,0.7359685252351387,0.7263754170869868,0.7287469987517449
CARDIO,RF,6,0.7292461538461539,0.7483707939885623,0.6923266109198231,0.7660137965016014,0.7187519959123715,0.7296622996972715
CARDIO,RF,7,0.7297692307692307,0.7442242058283014,0.6997875419527666,0.76118439258371,0.7202858277094085,0.7295633036108758
CARDIO,SVM,1,0.7276,0.8083867210250437,0.800369287582705,1.0,0.7107713417622268,0.7275910657418004
CARDIO,SVM,2,0.7264153846153846,0.7334268230494646,0.9997841571336068,0.7579293192913507,0.7213001708276522,0.7263796921123922
CARDIO,SVM,3,0.7272615384615385,0.7730724626837754,0.9996300635057648,0.8137092316196793,0.7166059210946991,0.7271924556949583
CARDIO,SVM,4,0.7271538461538462,0.7520545130804001,0.9999691900052377,0.7867436929600836,0.7107929304228323,0.7270871534997839
CARDIO,SVM,5,0.7255230769230769,0.7659860485394565,1.0,0.8020224995389439,0.7158216657906054,0.7254881568419496
CARDIO,SVM,6,0.7278615384615384,0.7843588045045397,0.8134837678307919,1.0,0.709143824917375,0.7279175220708519
CARDIO,SVM,7,0.7280461538461539,0.8315450643776824,1.0,0.99517264704978,0.7124335052301085,0.7280080962047649
AUS,DT,1,0.8321301438131853,0.7933739291980596,0.4496332835724022,0.9817412399905148,0.5148317820940694,0.6818113903386273
AUS,DT,2,0.8294318667236223,0.7345512421285724,0.492185723104916,0.9650264854170656,0.5269891411648568,0.6875167229636951
AUS,DT,3,0.8290118183112629,0.7808636104241963,0.4761533716437778,0.97898941263371,0.5149159880424699,0.692721679483065
AUS,DT,4,0.8284209027481133,0.8014779979845482,0.4536555223103942,0.983839507073064,0.5391027729337141,0.6948182955313834
AUS,DT,5,0.8299800654990744,0.8010050251256281,0.4977406456227041,0.9837555492757456,0.5422314167498931,0.7004756344747676
AUS,DT,6,0.8239783568275666,0.7680403254333216,0.4615834063686825,0.9760790858435244,0.5456279095855068,0.6994652023588817
AUS,DT,7,0.8331980635056244,0.7359496435223842,0.4766051468676891,0.9625196017650706,0.5158782788093134,0.6860183545258788
AUS,LOGREG,1,0.8447885519008971,0.8228351198362038,0.4665411825793471,0.999990879740255,0.5682887298889197,0.7086276494586902
AUS,LOGREG,2,0.8429873273529831,0.798090890226188,0.5041427039672483,0.9999908828168448,0.5845278682966341,0.7210911636226203
AUS,LOGREG,3,0.8414068062081731,0.8201931304241535,0.4936203370020454,0.9999908808214556,0.5771771315769494,0.7163566717520098
AUS,LOGREG,4,0.843585362380749,0.7918072289156627,0.5005854039287108,0.9999908852267756,0.5835386890093642,0.7201501469111251
AUS,LOGREG,5,0.8433077032607148,0.7906976744186046,0.4962452456031989,0.9999817682932388,0.5823113162562704,0.718938218203563
AUS,LOGREG,6,0.8431154777160758,0.8219362745098039,0.4850520985490311,0.9999817606449436,0.5793207722726216,0.7159057105696922
AUS,LOGREG,7,0.8433433005837961,0.8045309653916212,0.4915843514426826,0.9999908828999672,0.5789675098541962,0.7168134732670179
AUS,PERC,1,0.8080663534102236,0.5818784248757487,0.0,1.0,0.5040198693772422,0.5
AUS,PERC,2,0.8195002135839385,0.6687196715192236,1.0,0.9514509996991328,0.4161901204057588,0.6083849022728036
AUS,PERC,3,0.7807133703545494,0.0,0.0,1.0,0.0,0.5
AUS,PERC,4,0.7810907019792112,0.0,0.0,1.0,0.0,0.5563081805211819
AUS,PERC,5,0.21900185106080025,0.0,0.7503657228308572,0.0,0.5447979607250755,0.7593856462347577
AUS,PERC,6,0.7806706535668517,0.21932934643314825,0.8701918395169929,1.0,0.35975406820928724,0.7508465148174552
AUS,PERC,7,0.21910864303004413,0.21910864303004413,0.0,0.0,0.5137311660357753,0.724961740410837
AUS,KNN,1,0.8155204328634487,0.8821576763485477,0.4100733432855196,0.9987778851941704,0.4417872876022656,0.6423166453764118
AUS,KNN,2,0.8171792681190374,0.8916666666666667,0.4304188192481399,0.9985777194278056,0.457013730766577,0.6516261743004556
AUS,KNN,3,0.8156770610850064,0.8764906303236797,0.4192071685984221,0.9988783410390392,0.4481077235419667,0.6461523399872986
AUS,KNN,4,0.8191584792823579,0.8405740884406516,0.4265318069467933,0.9962538282047544,0.4514785362663086,0.6483915050484295
AUS,KNN,5,0.8182970240637905,0.8709860755896561,0.4249536751080914,0.9978668903089364,0.4523731247728963,0.6488481809573583
AUS,KNN,6,0.816047273245052,0.8576271186440678,0.4071801863212906,0.9984678941752622,0.4394849785407725,0.640965267574478
AUS,KNN,7,0.8175993165313968,0.8522483940042827,0.42393423446841694,0.9974836803909412,0.4478887744593204,0.646155330647286
AUS,RF,1,0.8425459205467749,0.7688057264849931,0.4079314597260985,0.966400963099429,0.5310305319216652,0.6868357894989402
AUS,RF,2,0.8443827424177702,0.7393258426966293,0.4490691100497125,0.9551069901443248,0.5582269274284791,0.7017675960837284
AUS,RF,3,0.8442261141962124,0.7573611192413511,0.4315119638972761,0.9627025597534176,0.5467110844420535,0.6948715247146529
AUS,RF,4,0.8434714509468888,0.7502169762194063,0.4307597242097047,0.9600772932769432,0.5448678168052625,0.6955326396483809
AUS,RF,5,0.8446461626085718,0.7442977853868671,0.4469620623516791,0.958860153693288,0.5563860903477413,0.7024597378507035
AUS,RF,6,0.8429018937775881,0.7547675978305243,0.4204563897815432,0.9624269285838052,0.538000459472442,0.690187309659757
AUS,RF,7,0.8434785704115051,0.7582932763634206,0.42568884845334026,0.9627657634659568,0.5445915977533213,0.6935659441291027
AUS,SVM,1,0.8450163747686174,0.8424340116864799,0.4581034594664763,1.0,0.5521058370882457,0.697772594900103
AUS,SVM,2,0.8425103232236936,0.8792857142857143,0.4725281866328752,1.0,0.5744320504584477,0.7130789201458969
AUS,SVM,3,0.8433433005837961,0.8605876393110435,0.4675497548780884,1.0,0.5613987213472633,0.7059522637000898
AUS,SVM,4,0.8434287341591912,0.8699902248289345,0.4787628463639911,1.0,0.5614844763139827,0.7076301106546512
AUS,SVM,5,0.8448668660116759,0.8546712802768166,0.4808361236630799,1.0,0.5695308138079744,0.7112974682071678
AUS,SVM,6,0.8451801224547913,0.9027181688125894,0.4606096017138962,1.0,0.5577501326572725,0.7034655898914479
AUS,SVM,7,0.8447244767193507,0.8440990039239359,0.4939563296074864,1.0,0.5741478613917478,0.7151731613392452
AIRBNB,DT,1,0.8207312905797927,0.8061774370208105,0.8384671466326438,0.7984418424529591,0.8200260732337672,0.8207310266078862
AIRBNB,DT,2,0.8220070623077801,0.8364479281173828,0.8467988152198679,0.8441002277904328,0.8268666014060693,0.8220073843752058
AIRBNB,DT,3,0.8263127918897368,0.8471596255757515,0.830253936470374,0.859221750832535,0.827550327980095,0.8263053317877649
AIRBNB,DT,4,0.8193643922998064,0.8337539882851565,0.8390139433154106,0.8588546175224384,0.8232953275206796,0.8193629169684374
AIRBNB,DT,5,0.8150358810798496,0.8123761484417222,0.826031456576248,0.8102914389799636,0.8203073719472173,0.8150277116567703
AIRBNB,DT,6,0.8188176329878118,0.8071819575213488,0.8385042307342371,0.8078766029297677,0.8225450164000268,0.8187866382530766
AIRBNB,DT,7,0.8201389679917986,0.8264428219318235,0.8388346858758092,0.8300623833158781,0.8182425121440248,0.8201328603002296
AIRBNB,LOGREG,1,0.8207085089417929,0.8258906420561675,0.8320422856101339,0.0,0.822707817075918,0.8206637233326536
AIRBNB,LOGREG,2,0.8206173823897939,0.8216595363645408,0.8349965823650034,1.0,0.8220243207811582,0.8206182935076354
AIRBNB,LOGREG,3,0.8234650871397653,0.8549324200354719,0.8360790024574497,1.0,0.8258377722338346,0.8234498383483818
AIRBNB,LOGREG,4,0.8215969928237841,0.8299913260880657,0.8314499225371366,1.0,0.8222610590344764,0.8215972520109779
AIRBNB,LOGREG,5,0.8236473402437635,0.8151346539060761,0.8348301800775018,1.0,0.8255156091513579,0.8236537057035961
AIRBNB,LOGREG,6,0.8214603029957854,0.8685868586858686,0.8306341552179055,1.0,0.8233119152293991,0.8214495123628549
AIRBNB,LOGREG,7,0.8223487868777765,0.816148512636994,0.8319959879638916,0.8086608077956378,0.8239570164348925,0.8223547172641278
AIRBNB,PERC,1,0.7375783118806242,0.6808223684210526,0.6238950150369088,0.5579297462298966,0.7039045831940981,0.7375705427364597
AIRBNB,PERC,2,0.7951475111060485,0.7485479289439098,0.7776714513556618,0.7993621867881548,0.7914850199424914,0.7951455206664414
AIRBNB,PERC,3,0.7696548581843035,0.5919312572368822,0.9689178119595886,0.7438529264175905,0.7552142451759364,0.7694778986327228
AIRBNB,PERC,4,0.7543455974484565,0.7180855499041108,0.5921808074364349,0.4352362294409768,0.7067845003399048,0.7543345150672539
AIRBNB,PERC,5,0.5002847704749972,0.8134622269960616,0.7402780943697287,0.810200364298725,0.0,0.5
AIRBNB,PERC,6,0.7509511333864904,0.7017904998640618,0.9352652169957236,0.6496143841555241,0.7738144500537948,0.7507940942441165
AIRBNB,PERC,7,0.7068458822189315,0.6951524022731187,0.35802863134859125,0.5588543326806612,0.4834846852393412,0.7068639042378095
AIRBNB,KNN,1,0.8256976876637431,0.8252871459296206,0.8416112275585528,0.8197639983598342,0.8283567021873247,0.8256987502867854
AIRBNB,KNN,2,0.8280669780157194,0.8226772780112671,0.8571428571428571,0.8193166287015945,0.8311897465721252,0.8280690959122801
AIRBNB,KNN,3,0.824900330333751,0.8143034165338998,0.8504141257850186,0.8085853747548013,0.8256317370560171,0.8248746584057208
AIRBNB,KNN,4,0.8283403576717165,0.8312721254195209,0.8260730884899298,0.8322930429632329,0.8275625328969951,0.8283400532531158
AIRBNB,KNN,5,0.8305273949196947,0.8248767368892873,0.8660588101208115,0.8204918032786885,0.8318680076844841,0.8305322056016639
AIRBNB,KNN,6,0.8275202187037248,0.8217190097497417,0.8565644618324083,0.8189202756354675,0.8306226090069131,0.8274934712060124
AIRBNB,KNN,7,0.8277480350837225,0.8263440120995462,0.8489559587854473,0.8274668730932107,0.8286775897573642,0.8280938144585139
AIRBNB,RF,1,0.8314614420776854,0.8301312622064768,0.8338649412193566,0.8323386031254272,0.8319442546796009,0.8313932224938555
AIRBNB,RF,2,0.8339902038956601,0.8254186841988361,0.8528138528138528,0.8189521640091116,0.8364731801627625,0.8334222281734571
AIRBNB,RF,3,0.8342863651896572,0.8300791794133525,0.8403567852917084,0.8269239541991698,0.8352140385789556,0.8338925360392181
AIRBNB,RF,4,0.8319854197516802,0.8379182156133829,0.8213341839059509,0.8403571916716024,0.8305965686950922,0.8313924689014525
AIRBNB,RF,5,0.8341952386376581,0.8290812895126216,0.847458399817643,0.8281876138433516,0.8366299703867803,0.8345875720324538
AIRBNB,RF,6,0.8308919011276911,0.8257460345909131,0.8410517696296971,0.8221603614292885,0.8327888060205944,0.8305582508372172
AIRBNB,RF,7,0.8335573527736644,0.8335991978487762,0.8325430837968449,0.83511679796002,0.8334930412959158,0.8335117265062923
AIRBNB,SVM,1,0.824695295591753,0.8666028492595304,0.8385127130228743,1.0,0.8268490808037623,0.8246961495708943
AIRBNB,SVM,2,0.8283859209477161,0.8525064436378939,0.8446570972886762,1.0,0.8311175877143818,0.8283877741568666
AIRBNB,SVM,3,0.8269278961157307,0.7722222222222223,0.8484117593519614,0.9990876328634642,0.8307376957868235,0.8269019245644438
AIRBNB,SVM,4,0.8218931541177811,0.8758254716981132,0.8390139433154106,1.0,0.8235294117647057,0.8226453070124446
AIRBNB,SVM,5,0.8290238068117097,0.8614487117160914,0.9278778208342832,1.0,0.83375052610593,0.8290402686277514
AIRBNB,SVM,6,0.8225310399817747,0.8812805053115129,0.8446001273769448,1.0,0.8265883086238367,0.8224962942365491
AIRBNB,SVM,7,0.8253103998177469,0.8694034058869967,0.982264976748427,1.0,0.8276001618777822,0.8253188817064886
SHROOMS,DT,1,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,DT,2,0.998399488,1.0,0.996701847,1.0,0.9983482,0.998350923
SHROOMS,DT,3,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,DT,4,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,DT,5,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,DT,6,1.0,1.0,1.0,1.0,0.999352751,0.999367089
SHROOMS,DT,7,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,LOGREG,1,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,LOGREG,2,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,LOGREG,3,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,LOGREG,4,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,LOGREG,5,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,LOGREG,6,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,LOGREG,7,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,PERC,1,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,PERC,2,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,PERC,3,0.999679898,1.0,0.999316473,1.0,0.99965812,0.999658237
SHROOMS,PERC,4,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,PERC,5,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,PERC,6,0.999359795,1.0,0.998704663,1.0,0.999351912,0.999352332
SHROOMS,PERC,7,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,KNN,1,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,KNN,2,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,KNN,3,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,KNN,4,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,KNN,5,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,KNN,6,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,KNN,7,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,RF,1,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,RF,2,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,RF,3,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,RF,4,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,RF,5,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,RF,6,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,RF,7,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,SVM,1,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,SVM,2,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,SVM,3,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,SVM,4,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,SVM,5,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,SVM,6,1.0,1.0,1.0,1.0,1.0,1.0
SHROOMS,SVM,7,1.0,1.0,1.0,1.0,1.0,1.0
CHESS,DT,1,0.6518794,0.5896770170000001,0.883804218,0.474531188,0.688981107,0.651821628
CHESS,DT,2,0.646898659,0.62948886,0.805511182,0.613040021,0.662324869,0.6467791479999999
CHESS,DT,3,0.649488644,0.648336252,0.856171688,0.8671254629999999,0.67964658,0.649852804
CHESS,DT,4,0.637402045,0.635860409,0.661608094,0.598992844,0.6331428570000001,0.637577085
CHESS,DT,5,0.648359676,0.632280893,0.849603867,0.648929181,0.689892051,0.649447141
CHESS,DT,6,0.646500199,0.66600519,0.613897039,0.65515873,0.624940601,0.6462352570000001
CHESS,DT,7,0.647297118,0.661217075,0.910954346,0.901126574,0.689502317,0.6475780839999999
CHESS,LOGREG,1,0.670939036,0.748956885,0.68749171,0.903976593,0.6765435320000001,0.6708505229999999
CHESS,LOGREG,2,0.669278789,0.662474156,0.6948881790000001,0.7403922609999999,0.678098207,0.66931399
CHESS,LOGREG,3,0.666755213,0.659530565,0.718874967,0.650608788,0.686394298,0.666880962
CHESS,LOGREG,4,0.667485722,0.6616553510000001,0.728168264,0.722634508,0.6860224490000001,0.66762243
CHESS,LOGREG,5,0.669610838,0.6511371970000001,0.0,0.632505584,0.6816,0.670100427
CHESS,LOGREG,6,0.666954443,0.657465008,0.7140570820000001,0.650396825,0.6825599179999999,0.667056259
CHESS,LOGREG,7,0.666290344,0.672467264,0.70810595,1.0,0.679221194,0.666379019
CHESS,PERC,1,0.60665427,0.524087591,0.460007959,1.0,0.651403684,0.6064848389999999
CHESS,PERC,2,0.626178775,0.6318926970000001,0.937965921,0.0,0.684409908,0.626437633
CHESS,PERC,3,0.581750564,0.561655059,0.731404959,0.37705135,0.651469279,0.582283898
CHESS,PERC,4,0.574113428,0.5909039739999999,0.7623801920000001,0.518420355,0.6410701289999999,0.574537565
CHESS,PERC,5,0.598485855,0.564133616,0.439908688,0.432531862,0.684841535,0.601541481
CHESS,PERC,6,0.6484260860000001,0.648557563,0.0,0.653306878,0.641522946,0.64839825
CHESS,PERC,7,0.635343339,0.5404651970000001,0.595101824,0.368190855,0.619552415,0.635258003
CHESS,KNN,1,0.626112366,0.6199271270000001,0.6674625279999999,0.5976858620000001,0.641657551,0.62607466
CHESS,KNN,2,0.625846726,0.610572687,0.665335463,0.596474954,0.639539347,0.625935688
CHESS,KNN,3,0.624053659,0.610863543,0.702879232,0.5723928,0.641822208,0.624239589
CHESS,KNN,4,0.628303892,0.610831087,0.719914803,0.58812616,0.658027621,0.6284619929999999
CHESS,KNN,5,0.6273077429999999,0.6053749860000001,0.739223849,0.581526738,0.652593785,0.628174977
CHESS,KNN,6,0.62923363,0.610261238,0.73126167,0.5619047620000001,0.66343591,0.629592389
CHESS,KNN,7,0.630694647,0.61418902,0.713296952,0.59231279,0.657062285,0.630819855
CHESS,RF,1,0.6615752420000001,0.657495133,0.668523677,0.65075143,0.665749115,0.663151726
CHESS,RF,2,0.661442423,0.656673989,0.673056443,0.648953088,0.66627343,0.663660574
CHESS,RF,3,0.661840882,0.654129606,0.685417222,0.640682901,0.669750472,0.661254828
CHESS,RF,4,0.661641652,0.648781688,0.7006123540000001,0.626557116,0.676643643,0.6627221520000001
CHESS,RF,5,0.664696507,0.6467631189999999,0.723915671,0.620943371,0.6834126229999999,0.666225049
CHESS,RF,6,0.666489574,0.65491721,0.7032542009999999,0.637698413,0.6796078940000001,0.665959265
CHESS,RF,7,0.661043963,0.652003539,0.684546786,0.636845593,0.667057444,0.65863197
CHESS,SVM,1,0.667884181,0.7026255709999999,0.681522748,1.0,0.676163958,0.6678514
CHESS,SVM,2,0.6650949660000001,0.665724604,0.6838391909999999,1.0,0.666842835,0.665110203
CHESS,SVM,3,0.663301899,0.786252354,0.69941349,1.0,0.674248265,0.663430938
CHESS,SVM,4,0.663766768,0.652565257,0.767705005,1.0,0.68640446,0.6639331479999999
CHESS,SVM,5,0.663434719,0.637371521,1.0,0.618052818,0.6853346579999999,0.664271516
CHESS,SVM,6,0.664032408,0.652941176,1.0,0.697883598,0.695127505,0.664256677
CHESS,SVM,7,0.653805286,0.663002644,0.699188074,1.0,0.6630034260000001,0.653866243
OLYMPIC,DT,1,0.676660975,0.8220640570000001,0.373902867,0.99699447,0.410423029,0.572926979
OLYMPIC,DT,2,0.6810293479999999,0.828070175,0.402781051,0.99706499,0.412629549,0.568850624
OLYMPIC,DT,3,0.680393948,0.817869416,0.40449042,0.9968213990000001,0.42341570799999995,0.575965903
OLYMPIC,DT,4,0.6832532459999999,0.8125,0.40521636,0.9967753490000001,0.419447325,0.5695531429999999
OLYMPIC,DT,5,0.6725705890000001,0.8152173909999999,0.37431149700000005,0.996936569,0.39940015,0.56603932
OLYMPIC,DT,6,0.6840872090000001,0.822299652,0.385933595,0.996960305,0.413087935,0.575721003
OLYMPIC,DT,7,0.680671935,0.643094842,0.397533764,0.99723989,0.41239977299999997,0.5693614920000001
OLYMPIC,LOGREG,1,0.660656844,0.406408094,0.056524283,1.0,0.10010362699999999,0.509468282
OLYMPIC,LOGREG,2,0.6629998810000001,0.41224794600000003,0.12479377800000001,1.0,0.192790825,0.518039715
OLYMPIC,LOGREG,3,0.662165919,0.587901701,0.119666157,1.0,0.186686228,0.518540024
OLYMPIC,LOGREG,4,0.6702275529999999,0.591098748,0.17178423199999998,1.0,0.252087683,0.537764292
OLYMPIC,LOGREG,5,0.6611333939999999,0.523255814,0.07090120700000001,1.0,0.123595506,0.515662241
OLYMPIC,LOGREG,6,0.6662960170000001,0.40646976100000004,0.105676544,1.0,0.167326173,0.513411642
OLYMPIC,LOGREG,7,0.662205631,0.507772021,0.09359953,1.0,0.15699793199999998,0.521226696
OLYMPIC,PERC,1,0.660656844,0.39158576100000003,0.044470450999999994,1.0,0.079356792,0.5
OLYMPIC,PERC,2,0.57352766,0.34081796299999995,0.70598633,0.7271638220000001,0.476838586,0.5340054439999999
OLYMPIC,PERC,3,0.662165919,0.43166320799999996,0.545315622,1.0,0.434342961,0.517850955
OLYMPIC,PERC,4,0.6650252170000001,0.34039511299999997,0.310491998,1.0,0.32475665,0.503717276
OLYMPIC,PERC,5,0.656725309,0.322522845,0.47556545200000006,0.886713119,0.38786141,0.522399501
OLYMPIC,PERC,6,0.6662960170000001,0.369525547,0.362608592,1.0,0.36810631200000005,0.503506094
OLYMPIC,PERC,7,0.661848219,0.319138192,0.542806812,1.0,0.43105619,0.5043220970000001
OLYMPIC,KNN,1,0.674913625,0.583776596,0.445172616,0.981185381,0.451620563,0.587427616
OLYMPIC,KNN,2,0.670545252,0.563249001,0.490454867,0.972027553,0.4784183,0.5982584879999999
OLYMPIC,KNN,3,0.6740399509999999,0.551143201,0.463970848,0.964915437,0.45991610299999997,0.595294184
OLYMPIC,KNN,4,0.676780112,0.5475751999999999,0.49176052200000003,0.958198973,0.47286821700000004,0.598499889
OLYMPIC,KNN,5,0.671418927,0.61209068,0.46923708,0.9841422390000001,0.464097363,0.5929198370000001
OLYMPIC,KNN,6,0.6776934990000001,0.546531303,0.494823277,0.959351532,0.473360656,0.598198383
OLYMPIC,KNN,7,0.677931774,0.561897702,0.47527892,0.971978879,0.46375981200000005,0.59090359
OLYMPIC,RF,1,0.686906795,0.63128267,0.31386775899999997,0.9444578020000001,0.398331595,0.5908928000000001
OLYMPIC,RF,2,0.69643779,0.622345068,0.36295074200000005,0.92327044,0.431084422,0.601896117
OLYMPIC,RF,3,0.692545967,0.622343851,0.33972023,0.92809164,0.420153467,0.59831639
OLYMPIC,RF,4,0.697470315,0.6115702479999999,0.370124481,0.9138301679999999,0.441981099,0.608773579
OLYMPIC,RF,5,0.69099718,0.6190983320000001,0.331770772,0.93518741,0.41564472799999996,0.5958607929999999
OLYMPIC,RF,6,0.6895675309999999,0.582102035,0.366059741,0.9100607940000001,0.43347069899999996,0.599706967
OLYMPIC,RF,7,0.692307692,0.61625,0.329536113,0.9342373690000001,0.409555815,0.590212097
OLYMPIC,SVM,1,0.686152258,0.713286713,0.359742539,1.0,0.426559356,0.595896757
OLYMPIC,SVM,2,0.68666852,0.614886731,0.439665331,1.0,0.47435001,0.614591575
OLYMPIC,SVM,3,0.687383345,0.643203883,0.39873045700000004,1.0,0.450404993,0.602818081
OLYMPIC,SVM,4,0.6829752590000001,0.689655172,0.431061055,1.0,0.470740549,0.611166662
OLYMPIC,SVM,5,0.6832929590000001,0.6946308720000001,0.39071838700000006,1.0,0.445721925,0.6024651520000001
OLYMPIC,SVM,6,0.681347047,0.614243323,0.44079495399999996,1.0,0.46957403700000006,0.608761705
OLYMPIC,SVM,7,0.6907589059999999,0.6780821920000001,0.398590722,1.0,0.43929588399999997,0.593001109
